item,kind,path,status,file_count,size_bytes,size_gb,md5,md5_scope
subset0,extracted_directory,subset0,EXTRACTED_ONLY_ARCHIVE_MISSING,178,11990504089,11.167,d6eae1f1c7dd6720fc8f6f0ca151ed93,extracted_tree_paths_sizes_and_contents
subset1,extracted_directory,subset1,EXTRACTED_ONLY_ARCHIVE_MISSING,178,11351921122,10.5723,89e3f0dcc6bc000791f6b92fffc97506,extracted_tree_paths_sizes_and_contents
subset2,extracted_directory,subset2,EXTRACTED_ONLY_ARCHIVE_MISSING,178,12979835725,12.0884,172857da4be03a923d23a1325d8d3ef7,extracted_tree_paths_sizes_and_contents
subset3,extracted_directory,subset3,EXTRACTED_ONLY_ARCHIVE_MISSING,178,12533666454,11.6729,870b6c0ce3306e02d70caec43bca0841,extracted_tree_paths_sizes_and_contents
subset4,extracted_directory,subset4,EXTRACTED_ONLY_ARCHIVE_MISSING,178,12271522190,11.4287,8eba0805fd1008da841ec023859b49e4,extracted_tree_paths_sizes_and_contents
subset5,extracted_directory,subset5,EXTRACTED_ONLY_ARCHIVE_MISSING,178,11842130492,11.0288,c9e6ccccc603d549a9c5c75a0ac6f348,extracted_tree_paths_sizes_and_contents
subset6,extracted_directory,subset6,EXTRACTED_ONLY_ARCHIVE_MISSING,178,11937026612,11.1172,35415b03fda343ec038df03b5832aaaf,extracted_tree_paths_sizes_and_contents
subset7,extracted_directory,subset7,EXTRACTED_ONLY_ARCHIVE_MISSING,178,11645522628,10.8457,049ce9e7b59753c9048e0eedd0bb1d34,extracted_tree_paths_sizes_and_contents
subset8,extracted_directory,subset8,EXTRACTED_ONLY_ARCHIVE_MISSING,176,10565488527,9.8399,65ad95ae7875e42a5df94ff5d1c0e222,extracted_tree_paths_sizes_and_contents
subset9,extracted_directory,subset9,EXTRACTED_ONLY_ARCHIVE_MISSING,176,12014096364,11.189,ac285bf8159c66c6880bc02feed2ba9f,extracted_tree_paths_sizes_and_contents
annotations,csv,annotations.csv,PRESENT,1,136986,0.000128,f4404df491aee6445a4485061bfdffdd,file
candidates,csv,candidates.csv,PRESENT,1,55427881,0.051621,2493fb3a766f71a7e1c6591d45191215,file
sampleSubmission,csv,sampleSubmission.csv,PRESENT,1,740,1e-06,76df445fe9f4899fd1fff417d234ca14,file
