class,class_id,cluster_id,size,prototypes,iterations,max_similarity,min_selected_similarity
negative,0,0,789,20,12,0.9983410835266113,0.9971902370452881
negative,0,1,275,20,12,0.9906288385391235,0.9834209680557251
negative,0,2,997,20,12,0.998748779296875,0.9977490305900574
negative,0,3,107,20,12,0.9846735596656799,0.953309178352356
negative,0,4,469,20,12,0.9967532157897949,0.9933962225914001
positive,1,0,49,20,16,0.9963981509208679,0.9871575236320496
positive,1,1,524,20,16,0.9996170401573181,0.9993088245391846
positive,1,2,242,20,16,0.9991487860679626,0.9979528188705444
positive,1,3,72,20,16,0.9962868094444275,0.9903559684753418
positive,1,4,29,20,16,0.9846494793891907,0.9357977509498596
