method,seed,alpha,beta,augment,best_epoch,best_val_auc,test_auc,test_f1,test_acc,test_loss,run_dir
pbip_contrast,0,0.3,0.05,strong,9,0.9914045170397258,0.9954222290419927,0.9405940594059405,0.9758551307847082,0.0653661777465876,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast
pbip_contrast,1,0.3,0.05,strong,9,0.992967332123412,0.9950386169505395,0.9207920792079208,0.9678068410462777,0.07933928777034614,D:\luna16-work\runs\experiments_v2\seed_1\pbip_contrast
pbip_contrast,2,0.3,0.05,strong,12,0.9915053438193184,0.9946038565802261,0.9641025641025641,0.9859154929577465,0.058234083700467884,D:\luna16-work\runs\experiments_v2\seed_2\pbip_contrast
pbip_lite,0,0.3,0.0,strong,9,0.9918330308529946,0.9950130428111095,0.9405940594059405,0.9758551307847082,0.06645673973639486,D:\luna16-work\runs\experiments_v2\seed_0\pbip_lite
pbip_lite,1,0.3,0.0,strong,9,0.9931941923774955,0.9950641910899698,0.9207920792079208,0.9678068410462777,0.08012864476358386,D:\luna16-work\runs\experiments_v2\seed_1\pbip_lite
pbip_lite,2,0.3,0.0,strong,12,0.9914045170397258,0.9949107462533885,0.9641025641025641,0.9859154929577465,0.057910918694746565,D:\luna16-work\runs\experiments_v2\seed_2\pbip_lite
resnet18_noaug,0,,,none,13,0.9787759628957451,0.986113242289397,0.9278350515463918,0.971830985915493,0.12876987181439006,D:\luna16-work\runs\experiments_v2\seed_0\resnet18_noaug
resnet18_noaug,1,,,none,13,0.9888334341601129,0.987238504424326,0.8958333333333334,0.959758551307847,0.15358367343423832,D:\luna16-work\runs\experiments_v2\seed_1\resnet18_noaug
resnet18_noaug,2,,,none,11,0.9834896148417019,0.981203007518797,0.92,0.9678068410462777,0.1673124870903775,D:\luna16-work\runs\experiments_v2\seed_2\resnet18_noaug
resnet18_strong,0,,,strong,19,0.9936983262754587,0.997417011917549,0.94,0.9758551307847082,0.05811380271910422,D:\luna16-work\runs\experiments_v2\seed_0\resnet18_strong
resnet18_strong,1,,,strong,17,0.9939755999193386,0.9949363203928188,0.9306930693069307,0.971830985915493,0.06763366178067877,D:\luna16-work\runs\experiments_v2\seed_1\resnet18_strong
resnet18_strong,2,,,strong,18,0.9915053438193184,0.9963940463403407,0.9430051813471503,0.9778672032193159,0.060909753725292455,D:\luna16-work\runs\experiments_v2\seed_2\resnet18_strong
