method,seed,degradation,level,auc,pr_auc,f1,threshold
resnet18_baseline,1,clean,0,0.987238504424326,0.9635879215542111,0.897196261682243,0.009901265613734722
resnet18_baseline,1,low_contrast,1,0.9867014474962917,0.9611596892348037,0.9014084507042254,0.009901265613734722
resnet18_baseline,1,low_contrast,2,0.9861643905682573,0.9580586928017563,0.8837209302325582,0.009901265613734722
resnet18_baseline,1,low_contrast,3,0.9831210679760625,0.9456676407590686,0.8468468468468469,0.009901265613734722
resnet18_baseline,1,low_contrast,4,0.9685693826402741,0.9050097765804154,0.7894736842105263,0.009901265613734722
resnet18_baseline,1,low_contrast,5,0.912408572451537,0.7902133308451118,0.6575342465753424,0.009901265613734722
resnet18_baseline,1,gaussian_noise,1,0.9866247250780011,0.9621108555671841,0.8878504672897196,0.009901265613734722
resnet18_baseline,1,gaussian_noise,2,0.9828397524423303,0.9591349201188725,0.8796296296296297,0.009901265613734722
resnet18_baseline,1,gaussian_noise,3,0.9794639660375428,0.9527273228969324,0.8392857142857143,0.009901265613734722
resnet18_baseline,1,gaussian_noise,4,0.9719451690450617,0.9343937303341247,0.7982062780269058,0.009901265613734722
resnet18_baseline,1,gaussian_noise,5,0.9459106951051097,0.9028225695717488,0.7623318385650224,0.009901265613734722
resnet18_baseline,1,gaussian_blur,1,0.9884916372564063,0.9669054965055679,0.892018779342723,0.009901265613734722
resnet18_baseline,1,gaussian_blur,2,0.989310009718173,0.9686114222220817,0.8837209302325582,0.009901265613734722
resnet18_baseline,1,gaussian_blur,3,0.9873919492609073,0.9640898220866403,0.8558558558558559,0.009901265613734722
resnet18_baseline,1,gaussian_blur,4,0.9788246125517877,0.9439879067681236,0.7755102040816326,0.009901265613734722
resnet18_baseline,1,gaussian_blur,5,0.9629430719656283,0.9018319673065784,0.6506849315068494,0.009901265613734722
resnet18_baseline,1,window_shift,1,0.9868804664723032,0.9626290949608582,0.8930232558139535,0.009901265613734722
resnet18_baseline,1,window_shift,2,0.9863945578231292,0.9609528468376919,0.8888888888888888,0.009901265613734722
resnet18_baseline,1,window_shift,3,0.9856017595007928,0.9586429947592429,0.8744186046511628,0.009901265613734722
resnet18_baseline,1,window_shift,4,0.9842463301109918,0.9542653517238887,0.8703703703703703,0.009901265613734722
resnet18_baseline,1,window_shift,5,0.9773668866042657,0.9416321365226336,0.8558139534883721,0.009901265613734722
resnet18_baseline,1,jpeg,1,0.9870339113088845,0.9635206246333768,0.8930232558139535,0.009901265613734722
resnet18_baseline,1,jpeg,2,0.9865991509385709,0.9618982251463499,0.8837209302325582,0.009901265613734722
resnet18_baseline,1,jpeg,3,0.9862411129865479,0.9587411067481576,0.8878504672897196,0.009901265613734722
resnet18_baseline,1,jpeg,4,0.9867525957751522,0.9607732910142156,0.8785046728971962,0.009901265613734722
resnet18_baseline,1,jpeg,5,0.9851669991304792,0.956872868425508,0.8679245283018868,0.009901265613734722
resnet18_baseline,1,resample,1,0.9893867321364636,0.9695902961162318,0.8878504672897196,0.009901265613734722
resnet18_baseline,1,resample,2,0.9887729527901385,0.9667834817476824,0.8796296296296297,0.009901265613734722
resnet18_baseline,1,resample,3,0.9884916372564063,0.9666683613148666,0.8727272727272727,0.009901265613734722
resnet18_baseline,1,resample,4,0.9819958058411336,0.9484173213136107,0.8050847457627118,0.009901265613734722
resnet18_baseline,1,resample,5,0.9487238504424326,0.8687184666761468,0.6418918918918919,0.009901265613734722
resnet18_augmented,1,clean,0,0.9949363203928188,0.9860503188287268,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,low_contrast,1,0.9951153393688301,0.9863450140368335,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,low_contrast,2,0.9951920617871208,0.9843993023980422,0.9142857142857143,0.22028842568397522
resnet18_augmented,1,low_contrast,3,0.993990077233901,0.9786941076119025,0.8952380952380953,0.22028842568397522
resnet18_augmented,1,low_contrast,4,0.980589228172472,0.9464809367329371,0.8502415458937198,0.22028842568397522
resnet18_augmented,1,low_contrast,5,0.9127666104035598,0.8447300673839268,0.7835051546391752,0.22028842568397522
