method,auc,pr_auc,f1,level,auc_drop,pr_auc_drop,f1_drop
pbip_full,0.9950386169505395,0.9853921947024449,0.93,0,0.0,0.0,0.0
pbip_full,0.9955373126694287,0.986114124014938,0.9289931654857028,1,-0.0004986957188891639,-0.0007219293124931525,0.0010068345142972834
pbip_full,0.9956864951494383,0.9859783434264581,0.9287533470876194,2,-0.000647878198898777,-0.0005861487240131913,0.0012466529123806858
pbip_full,0.9947018907813753,0.9830546569943962,0.9302019513262789,3,0.0003367261691642476,0.002337537708048676,-0.0002019513262788708
pbip_full,0.9908146215879836,0.9736990246683747,0.9167030328738802,4,0.00422399536255591,0.011693170034070222,0.01329696712611983
pbip_full,0.9727081308713962,0.9377524925358894,0.8675919714535633,5,0.02233048607914334,0.04763970216655544,0.06240802854643679
pbip_lite,0.9950641910899698,0.9852632689161578,0.93,0,0.0,0.0,0.0
pbip_lite,0.9954435408248513,0.9858565102733244,0.9282148631998628,1,-0.0003793497348815178,-0.0005932413571666517,0.0017851368001372547
pbip_lite,0.9956268221574344,0.9857771217992904,0.9279671432557303,2,-0.0005626310674645696,-0.0005138528831326594,0.0020328567442697842
pbip_lite,0.9945825447973675,0.982797509358901,0.929407201800565,3,0.000481646292602278,0.002465759557256808,0.0005927981994350295
pbip_lite,0.9908615075102722,0.973596947977757,0.9167030328738802,4,0.004202683579697553,0.01166632093840081,0.01329696712611983
pbip_lite,0.9734583056280156,0.9387310299218127,0.8645463499161723,5,0.02160588546195419,0.04653223899434511,0.06545365008382775
resnet18_augmented,0.9949363203928188,0.9860503188287268,0.9142857142857143,0,0.0,0.0,0.0
resnet18_augmented,0.9951707500042625,0.9865022855694594,0.9157439052175894,1,-0.00023442961144370944,-0.0004519667407325567,-0.0014581909318751585
resnet18_augmented,0.9953284571974153,0.9862553284147685,0.9144122785319243,2,-0.0003921368045964879,-0.00020500958604163788,-0.00012656424621004803
resnet18_augmented,0.9945782824407958,0.9835950110902626,0.9117931782170557,3,0.0003580379520229382,0.002455307738464252,0.002492536068658513
resnet18_augmented,0.9909808534942798,0.9743869033899163,0.8867121407778003,4,0.003955466898538984,0.011663415438810554,0.027573573507914007
resnet18_augmented,0.97379503179718,0.9425938658959234,0.8457801556917955,5,0.021141288595638796,0.043456452932803424,0.06850555859391871
resnet18_baseline,0.987238504424326,0.9635879215542111,0.897196261682243,0,0.0,0.0,0.0
resnet18_baseline,0.9875198199580585,0.9643193428363371,0.892529112709049,1,-0.00028131553373245133,-0.0007314212821259991,0.00466714897319398
resnet18_baseline,0.9866801357134332,0.9625732648124058,0.8832184898076371,2,0.0005583687108928759,0.001014656741805342,0.013977771874605915
resnet18_baseline,0.9850519155030432,0.9577562080941514,0.8628307936094287,3,0.0021865889212828726,0.005831713460059729,0.034365468072814265
resnet18_baseline,0.9787223159940668,0.9411412296223963,0.8195249925582239,4,0.008516188430259253,0.02244669193181481,0.07767126912401912
resnet18_baseline,0.9554200126165755,0.8936818898912878,0.7393635650548941,5,0.03181849180775054,0.06990603166292331,0.1578326966273489
