dataset,method,metric,seeds,n_seeds,mean,std,mean_std
luna16_fixed_test,pbip_lite,accuracy,"0,1,2",3,0.9738430583501007,0.009220474235323621,0.973843 ± 0.009220
luna16_fixed_test,pbip_lite,auc,"0,1,2",3,0.9949959933848226,7.813028651497006e-05,0.994996 ± 0.000078
luna16_fixed_test,pbip_lite,f1,"0,1,2",3,0.935686023201551,0.02123351698031404,0.935686 ± 0.021234
luna16_fixed_test,pbip_lite,precision,"0,1,2",3,0.9141693374597545,0.04386148430692538,0.914169 ± 0.043861
luna16_fixed_test,pbip_lite,recall,"0,1,2",3,0.9591836734693877,0.010204081632653017,0.959184 ± 0.010204
luna16_fixed_test,resnet18_augmented,accuracy,"0,1,2",3,0.9684775318578135,0.005063604584353386,0.968478 ± 0.005064
luna16_fixed_test,resnet18_augmented,auc,"0,1,2",3,0.9962491262169029,0.0012466791856167306,0.996249 ± 0.001247
luna16_fixed_test,resnet18_augmented,f1,"0,1,2",3,0.9237259082737573,0.010683457892176213,0.923726 ± 0.010683
luna16_fixed_test,resnet18_augmented,precision,"0,1,2",3,0.8855188897321157,0.027761169292665522,0.885519 ± 0.027761
luna16_fixed_test,resnet18_augmented,recall,"0,1,2",3,0.965986394557823,0.011782658554890463,0.965986 ± 0.011783
