method,seed,run_dir,checkpoint,prototype_bank,best_val_auc,threshold,validation_f1,auc,pr_auc,f1,accuracy,precision,recall
resnet18_baseline,0,D:\luna16-work\runs\experiments_v2\seed_0\resnet18_noaug,D:\luna16-work\runs\experiments_v2\seed_0\resnet18_noaug\best_model.pth,,0.9787759628957452,0.0587326437234878,0.9237668161434978,0.986113242289397,0.9673530043481232,0.9073170731707316,0.9617706237424548,0.8691588785046729,0.9489795918367347
resnet18_baseline,1,D:\luna16-work\runs\experiments_v2\seed_1\resnet18_noaug,D:\luna16-work\runs\experiments_v2\seed_1\resnet18_noaug\best_model.pth,,0.9888334341601128,0.0099012656137347,0.9244444444444444,0.987238504424326,0.9635879215542112,0.897196261682243,0.9557344064386318,0.8275862068965517,0.979591836734694
resnet18_baseline,2,D:\luna16-work\runs\experiments_v2\seed_2\resnet18_noaug,D:\luna16-work\runs\experiments_v2\seed_2\resnet18_noaug\best_model.pth,,0.983489614841702,0.0586387030780315,0.8908296943231442,0.981203007518797,0.9599873209162738,0.8720379146919431,0.9456740442655936,0.8141592920353983,0.9387755102040816
resnet18_augmented,0,D:\luna16-work\runs\experiments_v2\seed_0\resnet18_strong,D:\luna16-work\runs\experiments_v2\seed_0\resnet18_strong\best_model.pth,,0.9936983262754588,0.4540547430515289,0.9315068493150684,0.997417011917549,0.9908266335893026,0.9353233830845772,0.9738430583501008,0.912621359223301,0.9591836734693876
resnet18_augmented,1,D:\luna16-work\runs\experiments_v2\seed_1\resnet18_strong,D:\luna16-work\runs\experiments_v2\seed_1\resnet18_strong\best_model.pth,,0.9939755999193386,0.2202884256839752,0.9385964912280702,0.9949363203928188,0.9860503188287268,0.9142857142857144,0.9637826961770624,0.8571428571428571,0.979591836734694
resnet18_augmented,2,D:\luna16-work\runs\experiments_v2\seed_2\resnet18_strong,D:\luna16-work\runs\experiments_v2\seed_2\resnet18_strong\best_model.pth,,0.9915053438193184,0.1101473644375801,0.9344978165938864,0.9963940463403408,0.9875458478237754,0.9215686274509804,0.9678068410462776,0.8867924528301887,0.9591836734693876
pbip_lite,0,D:\luna16-work\runs\experiments_v2\seed_0\pbip_lite,D:\luna16-work\runs\experiments_v2\seed_0\pbip_lite\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9918330308529946,0.2784741222858429,0.925764192139738,0.9950130428111096,0.9875852574992678,0.9178743961352656,0.96579476861167,0.8715596330275229,0.9693877551020408
pbip_lite,1,D:\luna16-work\runs\experiments_v2\seed_1\pbip_lite,D:\luna16-work\runs\experiments_v2\seed_1\pbip_lite\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_1\prototype_bank\prototype_bank.pkl,0.9931941923774956,0.6191728711128235,0.9454545454545454,0.9950641910899698,0.9852632689161578,0.93,0.971830985915493,0.9117647058823528,0.9489795918367347
pbip_lite,2,D:\luna16-work\runs\experiments_v2\seed_2\pbip_lite,D:\luna16-work\runs\experiments_v2\seed_2\pbip_lite\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_2\prototype_bank\prototype_bank.pkl,0.9914045170397258,0.3664846420288086,0.9244444444444444,0.9949107462533884,0.9867837312160728,0.9591836734693876,0.9839034205231388,0.9591836734693876,0.9591836734693876
pbip_full,0,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast,D:\luna16-work\runs\experiments_v2\seed_0\pbip_contrast\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_0\prototype_bank\prototype_bank.pkl,0.9914045170397258,0.8258681297302246,0.9252336448598132,0.9954222290419928,0.9882655511900088,0.9430051813471504,0.977867203219316,0.9578947368421052,0.9285714285714286
pbip_full,1,D:\luna16-work\runs\experiments_v2\seed_1\pbip_contrast,D:\luna16-work\runs\experiments_v2\seed_1\pbip_contrast\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_1\prototype_bank\prototype_bank.pkl,0.992967332123412,0.618535578250885,0.9454545454545454,0.9950386169505396,0.9853921947024448,0.93,0.971830985915493,0.9117647058823528,0.9489795918367347
pbip_full,2,D:\luna16-work\runs\experiments_v2\seed_2\pbip_contrast,D:\luna16-work\runs\experiments_v2\seed_2\pbip_contrast\best_model.pth,D:\luna16-work\runs\experiments_v2\seed_2\prototype_bank\prototype_bank.pkl,0.9915053438193184,0.0716468170285224,0.9230769230769232,0.994603856580226,0.9861680975203236,0.9223300970873788,0.9678068410462776,0.8796296296296297,0.9693877551020408
