method,method_zh,seed,degradation,degradation_zh,level,auc,pr_auc,f1,threshold,auc_drop_from_clean,pr_auc_drop_from_clean,f1_drop_from_clean
resnet18_baseline,ResNet18（无增强）,1,clean,干净数据,0,0.987238504424326,0.9635879215542112,0.897196261682243,0.0099012656137347,0.0,0.0,0.0
resnet18_baseline,ResNet18（无增强）,1,low_contrast,低对比度,1,0.9867014474962916,0.9611596892348035,0.9014084507042254,0.0099012656137347,0.0005370569280344073,0.002428232319407697,-0.004212189021982393
resnet18_baseline,ResNet18（无增强）,1,low_contrast,低对比度,2,0.9861643905682572,0.9580586928017564,0.8837209302325582,0.0099012656137347,0.0010741138560688146,0.005529228752454873,0.013475331449684824
resnet18_baseline,ResNet18（无增强）,1,low_contrast,低对比度,3,0.9831210679760624,0.9456676407590686,0.8468468468468469,0.0099012656137347,0.004117436448263678,0.01792028079514263,0.05034941483539612
resnet18_baseline,ResNet18（无增强）,1,low_contrast,低对比度,4,0.968569382640274,0.9050097765804154,0.7894736842105263,0.0099012656137347,0.018669121784052,0.058578144973795876,0.10772257747171665
resnet18_baseline,ResNet18（无增强）,1,low_contrast,低对比度,5,0.912408572451537,0.7902133308451118,0.6575342465753424,0.0099012656137347,0.07482993197278909,0.17337459070909944,0.23966201510690055
resnet18_baseline,ResNet18（无增强）,1,gaussian_noise,高斯噪声,1,0.9866247250780013,0.962110855567184,0.8878504672897196,0.0099012656137347,0.0006137793463247831,0.0014770659870272373,0.009345794392523366
resnet18_baseline,ResNet18（无增强）,1,gaussian_noise,高斯噪声,2,0.9828397524423303,0.9591349201188724,0.8796296296296297,0.0099012656137347,0.0043987519819956855,0.004453001435338888,0.01756663205261333
resnet18_baseline,ResNet18（无增强）,1,gaussian_noise,高斯噪声,3,0.9794639660375428,0.9527273228969324,0.8392857142857143,0.0099012656137347,0.007774538386783214,0.010860598657278842,0.05791054739652868
resnet18_baseline,ResNet18（无增强）,1,gaussian_noise,高斯噪声,4,0.9719451690450616,0.9343937303341248,0.7982062780269058,0.0099012656137347,0.015293335379264472,0.029194191220086485,0.09898998365533718
resnet18_baseline,ResNet18（无增强）,1,gaussian_noise,高斯噪声,5,0.9459106951051096,0.9028225695717488,0.7623318385650224,0.0099012656137347,0.041327809319216424,0.06076535198246247,0.13486442311722058
resnet18_baseline,ResNet18（无增强）,1,gaussian_blur,高斯模糊,1,0.9884916372564064,0.966905496505568,0.892018779342723,0.0099012656137347,-0.0012531328320803947,-0.003317574951356761,0.005177482339519979
resnet18_baseline,ResNet18（无增强）,1,gaussian_blur,高斯模糊,2,0.989310009718173,0.9686114222220816,0.8837209302325582,0.0099012656137347,-0.0020715052938469203,-0.005023500667870384,0.013475331449684824
resnet18_baseline,ResNet18（无增强）,1,gaussian_blur,高斯模糊,3,0.9873919492609072,0.9640898220866404,0.8558558558558559,0.0099012656137347,-0.0001534448365811958,-0.0005019005324291559,0.041340405826387094
resnet18_baseline,ResNet18（无增强）,1,gaussian_blur,高斯模糊,4,0.9788246125517877,0.9439879067681236,0.7755102040816326,0.0099012656137347,0.008413891872538382,0.01960001478608764,0.12168605760061035
resnet18_baseline,ResNet18（无增强）,1,gaussian_blur,高斯模糊,5,0.9629430719656284,0.9018319673065784,0.6506849315068494,0.0099012656137347,0.024295432458697586,0.061755954247632805,0.24651133017539362
resnet18_baseline,ResNet18（无增强）,1,window_shift,窗位偏移,1,0.9868804664723032,0.9626290949608582,0.8930232558139535,0.0099012656137347,0.0003580379520228272,0.0009588265933530016,0.004173005868289503
resnet18_baseline,ResNet18（无增强）,1,window_shift,窗位偏移,2,0.9863945578231292,0.960952846837692,0.8888888888888888,0.0099012656137347,0.0008439466011967989,0.002635074716519248,0.00830737279335414
resnet18_baseline,ResNet18（无增强）,1,window_shift,窗位偏移,3,0.9856017595007928,0.9586429947592428,0.8744186046511628,0.0099012656137347,0.0016367449235332732,0.004944926794968496,0.022777657031080145
resnet18_baseline,ResNet18（无增强）,1,window_shift,窗位偏移,4,0.9842463301109918,0.9542653517238888,0.8703703703703703,0.0099012656137347,0.002992174313334206,0.009322569830322425,0.02682589131187263
resnet18_baseline,ResNet18（无增强）,1,window_shift,窗位偏移,5,0.9773668866042656,0.9416321365226336,0.8558139534883721,0.0099012656137347,0.009871617820060408,0.02195578503157769,0.0413823081938709
